"id_operation","lib_transaction","credit","debit","id_categorie","lib_categorie","id_sous_categorie","lib_sous_categorie"
362,"VIR S.A.R.L. SOLUTION BI FRA ADBI INV-1292",9360.000000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
366,"VIR SAS KARMA PARTNERS 0119 F0119 NO FC19002113 J A 480 : 6240 HT 7488 TTC",7488.000000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
367,"PRLV SEPA DGFIP 220750560700069982830 IS-032019-2571",,-15611.000000,33,"IMPOTS SUR LES BENEFICES",92,"Impôts sur les sociétés "
368,"REM CHQ REF10290R07",648.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
369,"PRLV SEPA BOUYGUES TELECOM B2K000190307254X000190307254B2K BOX",,-24.990000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
370,"VIR LAFOURCHETTE SAS 375535701 FC190048 FC190087",24282.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
371,"ECH PRET CAP+IN 10934 201056 04 TAUX= 1,70000 INT= 375,82",,-12987.810000,30,"CHARGES D'INTERETS",87,"Intérêts emprunt 450 K€ "
372,"VIR KORBEN 0121000192 /INV/ FC190084/INV/ FC190017",24600.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
373,"VIR S.A.R.L. SOLUTION BI FRA ADBI INV-1318",10440.000000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
374,"VIR LEXICO RGLT FACTURE 1306 DU 30 NOVEMBRE",8772.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
375,"VIR SAINT GOBAIN DSI GROUPE 0270021806 /INV/FC190039 31.1.2019",11232.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
376,"RELEVE CARTE 22124388",,-5306.960000,,"",,""
377,"VIR KAO F00004",,-18000.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
378,"PRLV SEPA URSSAF ILE-DE-FRANCE BQE211719074072004RCUR000010882 UR 117000001549472650 FEV 19788617793000180319",,-66476.000000,22,"CHARGES SOCIALES PERSONN",55,"Cotisations Urssaf"
379,"PRLV SEPA EXPERTISE COMPTABLE A PK9086383Z4D0T04 ECAI",,-7356.000000,13,"INTERMED ET HONORAIRES",107,"Honoraires comptables"
380,"PRLV SEPA BOUYGUES TELECOM PAGP0100JVTSRG BOUYGUES TELECOM",,-370.950000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
381,"PRLV SEPA SEFIA SEF/T005273743/75584254 F190088964",,-543.040000,6,"LOCATIONS MOBILIERES",18,"Locations Hyundai Tucson"
382,"PRLV SEPA DGFIP 320750560OT8BKOGG6Z8ETQ539ZTMLTL2B PASDSN15032019-022019-80532165000030",,-7624.000000,41,"DETTE FISCALE ET SOCIALE ",113,"Tva"
383,"PRLV SEPA FREE TELECOM FHD 857592874 FREE HAUTDEBIT 857592874",,-44.730000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
384,"PRLV SEPA SPB DEB-SPB-876-20190227-000028604065 ASSURANCE MOBILE SPB BOUYGUES TELECOM",,-14.990000,11,"ASSURANCES",27,"Assurance mobiles "
385,"VIR SOFT COMPUTING SOFT COMP 030",8568.000000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
386,"CHEQUE 2164712",,-6049.200000,13,"INTERMED ET HONORAIRES",107,"Honoraires comptables"
387,"PRLV SEPA MAAF ASSURANCES SA NUM 192367366 /REF 201905175151 COTISATION ASSURANCE 192367366",,-46.650000,11,"ASSURANCES",26,"Assurance véhicule"
388,"CHEQUE 2164713",,-5054.400000,25,"AUTRES CHARGES SOCIALES",78,"Médecine du travail"
389,"PRLV SEPA CHATEAUDEAU SAS 103/3526/C609143 CUSTOMER 609143",,-116.400000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
390,"BUSINESS DECISION BUSINESS DECISION FRAN",9072.000000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
391,"VIR SAVINA",,-480.000000,13,"INTERMED ET HONORAIRES",108,"Honoraires juridiques"
392,"VIR SOPRA STERIA GROUP 010PAD324562 CN-00015-CN-00017-INV-1358-INV-1248",19200.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
393,"PRLV SEPA SPB DEB-SPB-876-20190227-000028325157 ASSURANCE MOBILE SPB BOUYGUES TELECOM",,-14.990000,11,"ASSURANCES",27,"Assurance mobiles "
394,"VIR H DISPO INFO ZZ153WIX77O9NVH3D FACTURE 12/2018 INV-1335",9180.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
395,"VIR COM CAUTIONS 01/03 DECOMPTE AVALS ET CAUTIONS ARRE",,-25.700000,18,"SERVICES BANCAIRES",45,"Frais bancaires"
396,"PRLV SEPA SPB DEB-SPB-876-20190227-000028293237 ASSURANCE MOBILE SPB BOUYGUES TELECOM",,-13.990000,11,"ASSURANCES",27,"Assurance mobiles "
397,"VIR ADAMI 1903158374",12000.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
398,"PRLV SEPA AXA I0000368603311 I0000368603311-CONTRAT0000006465856904",,-200.000000,11,"ASSURANCES",25,"Assurance multirisque"
399,"VIR AGENCE NALE POUR LA FORM , INV-1121 - RA.GUL RAPPRO A TORT, AFPA 24 AFPA SIA.GE SOCIAL",23100.000000,,,"",,""
400,"PRLV SEPA AXA I0000368603310 I0000368603310-CONTRAT0000006465856904",,-200.000000,11,"ASSURANCES",25,"Assurance multirisque"
401,"VIR VERALLIA PACKAGING 0018001010 /INV/FC190037 31.1.2019",13992.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
402,"VIR AUBAY SCT180230 FC190008",9115.200000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
403,"VIR OFII 6 SALARIES",,-8731.000000,21,"AUTRES IMPOTS ADMIN FISC",51,"Taxe OFII "
404,"VIR LAGARDERE TRAVEL RETAIL RH180 2019-03-28:142203011 LAGARDERE TR FRANCE",11880.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
405,"VIR AUDIREVIS CAC",,-6049.200000,13,"INTERMED ET HONORAIRES",107,"Honoraires comptables"
406,"VIR NOVA TECHNOLOGY INV-1348 VIRT NOVA TECHNOLOGY",6960.000000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
407,"VIR LAGARDERE TRAVEL RETAIL RH614 2019-03-08:132843408 LAGARDERE TR FRANCE",13860.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
408,"PRLV SEPA TOTAL MS I0000001353147-010032529756642019 /INV/F9869861/0087263392 //20190318-SAGR3",,-172.830000,3,"MATIERES ET FOURNITURES",6,"Carburant"
409,"VIR CARREFOUR BANQUE 2000001258 /INV/FC190055 28.2.2019",13200.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
410,"VIR SAINT GOBAIN GLASS LOGIS FVIRSSGL-190386",12060.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
411,"VIR ADSERVIO LYON 1633,21 INV-0903",1633.210000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
412,"PRLV SEPA CREDIPAR 101G8837265 101G8837265 32 050319 VOTRE IDENTIFIANT ESPACE CLIENT : NOTRE SITE :",,-341.640000,6,"LOCATIONS MOBILIERES",16,"Locations Peugeot Partner"
413,"VIR NOVA TECHNOLOGY INV-1289 VIRT NOVA TECHNOLOGY",10080.000000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
414,"RELEVE CARTE 23697515",,-1614.360000,,"",,""
415,"VIR SAINT GOBAIN DSI GROUPE 0270021847 /INV/INV1362 31.12.2018",11760.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
416,"PRLV SEPA ENGIE 830006117943 Z 300001929622-930000990572",,-120.600000,3,"MATIERES ET FOURNITURES",4,"Electricité "
417,"PRLV SEPA CUBE CUBE FT12434-1 FACTURE FT12434 - PERIODE 201902",,-276.220000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
418,"VIR DEVL HUB PRO SGBDDF1-P-EU2S-003048-0000257996 FC190069",14430.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
419,"VIR OFII TAYEB IDJERAOUI",,-1375.000000,21,"AUTRES IMPOTS ADMIN FISC",51,"Taxe OFII "
420,"VIR DS RECRUTEMENT 01&02/19 WB",,-4260.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
421,"PRLV SEPA GOOGLE IRELAND LIMITE GG101QMG2D APPS COMMERCE:ADBI.FR:GG101QMG2D",,-275.700000,4,"SOUS TRAITANCE GENERALE",10,"Hébergements France"
422,"PRLV SEPA AXA I0000368603312 I0000368603312-CONTRAT0000006465856904",,-2874.360000,11,"ASSURANCES",25,"Assurance multirisque"
423,"PRLV SEPA TOTAL MS I0000001087560-010032527100452019 /INV/F9704001/0087263392 //20190304-SAGR3",,-157.880000,3,"MATIERES ET FOURNITURES",6,"Carburant"
424,"REJET CHEQUE 2164712",6049.200000,,,"",,""
425,"PRLV SEPA DGFIP 220750560700069979298 TVA-022019-3310CA3",,-79043.000000,41,"DETTE FISCALE ET SOCIALE ",113,"Tva"
426,"VIR IENA CONSULTING FACTURE FOURNISSEUR",12870.000000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
427,"VIR SIE 9EME EST 120750560DAA852-2019 REMB. DE CVAE - CVAE 2017 REMB JEI",10812.000000,,,"",,""
428,"VIR AGENCE NALE POUR LA FORM , FC190004 AFPA 24 AFPA SIA.GE SOCIAL",5280.000000,,,"",,""
429,"PRLV SEPA NIT ENCAISSEMENTS PRL NO P03649-001-CE3096286 SOCIETE:TITRES DE SERVICES/FACTURES:1910094809/03649/D.EMISSION:2019-0",,-7865.640000,26,"AUTRES CHARGES PERSONNEL",79,"Titres restaurants"
430,"VIR PUB AVENUE FC 16187",,-999.420000,14,"PUBLICITE RELATIONS PUBL",38,"Publicité France "
431,"REM CHQ REF10290R07",25560.000000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
432,"REM CHQ REF10290R07",21756.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
433,"PRLV SEPA AG2R REUNICA AG029000002790861 RETRAITE - AG2R REUNICA - 201902M - SIRET 80532165000030 -AG0290000027",,-19231.040000,22,"CHARGES SOCIALES PERSONN",54,"Cotisations Réunica"
434,"VIR TALEND FORMATION ESB",,-1920.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
435,"FAC.CIC SGT19005200198512 DONT TVA 9,80EUR",,-127.470000,18,"SERVICES BANCAIRES",45,"Frais bancaires"
436,"VIR LEXICO RGLT FACT DECEMBRE 1339",9030.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
437,"VIR EI TECHNOLOGIES FCE 30066-12-19070685025894",29808.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
438,"ADBI 190007 AC CONSEIL",9768.000000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
439,"VIR TENDEM 19.02",,-207.840000,8,"ENTRETIEN BIENS IMMOBIL",21,"Entretien de biens immobiliers"
440,"VIR ATHAIS CONSULTING SARL INV1321",4512.000000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
441,"ADBI 1331 ARTIN CONSULTING",6336.000000,,35,"VENTES PRESTATIONS SERV",96,"Prestations services S.T."
442,"VIR EI TECHNOLOGIES FCE 30066-12-19084065066733",21876.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
443,"VIR KORBEN 0121000025 /INV/ INV1346",11400.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
444,"VIR LEXICO RGLT FACTURE FC190025",10578.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
445,"VIR CDISCOUNT 0001622492 /INV/FC190013 31.1.2019/INV/FC190012 31.1.2019/INV/FC190011 31.1.2019",31464.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
446,"PRLV SEPA DGFIP 220750560700070504387 TVA-032019-3310CA3",,-43755.000000,41,"DETTE FISCALE ET SOCIALE ",113,"Tva"
532,"AMAZON PAYMENTS PAYLI2441535",,-6.480000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
533,"AMAZON PAYMENTS PAYLI2441535",,-17.980000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
534,"CHAI Z ELLE PARIS 9",,-41.700000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
535,"GOUTU PARIS",,-9.500000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
536,"PARADIS DU FRUI MARNE LA VAL",,-92.300000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
537,"AMAZON PAYMENTS PAYLI2441535",,-12.990000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
538,"JALLES-JAOUEN PARIS",,-93.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
539,"CARREFOUR CHAMP CHAMPS SUR M",,-55.390000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
540,"AMAZON PAYMENTS PAYLI2441535",,-37.980000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
541,"AMAZON EU SARL PAYLI2090401",,-29.970000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
542,"AMAZON PAYMENTS PAYLI2441535",,-12.990000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
543,"AMAZON PAYMENTS PAYLI2441535",,-36.750000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
544,"AMAZON PAYMENTS PAYLI2441535",,-32.730000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
545,"ELGI PARIS",,-11.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
546,"AMAZON EU SARL PAYLI2090401",,-108.880000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
547,"LE PALINURO PARIS",,-29.800000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
548,"LPB91 EVRY",,-31.800000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
549,"PUBAVENUE CAUDRY",,-592.420000,14,"PUBLICITE RELATIONS PUBL",39,"Cadeaux"
550,"AMAZON PAYMENTS PAYLI2441535",,-198.990000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
551,"AMAZON PAYMENTS PAYLI2441535",,-77.970000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
552,"AMAZON PAYMENTS PAYLI2441535",,-12.990000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
553,"PUBAVENUE CAUDRY",,-156.480000,14,"PUBLICITE RELATIONS PUBL",39,"Cadeaux"
554,"AMAZON PAYMENTS PAYLI2441535",,-13.550000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
555,"AMAZON PAYMENTS PAYLI2441535",,-549.230000,,"",,""
556,"FRANPRIX PARIS",,-13.570000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
557,"AMAZON EU SARL PAYLI2090401",,-108.880000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
558,"AMAZON EU SARL PAYLI2090401",,-759.000000,,"",,""
559,"CARREFOUR TPE MONTIGNY LE",,-54.850000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
560,"MACIF ILE DE PARIS",,-80.000000,11,"ASSURANCES",26,"Assurance véhicule"
561,"LE FIVE VILLETT AUBERVILLIER",,-70.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
562,"LA POSTE L75708 PARIS HAUSSM",,-37.350000,17,"FRAIS POSTE ET TELECOM",42,"Frais postaux"
563,"SNCF INTERNET PARIS 9",,-175.000000,15,"VOYAGES ET DEPLACEMENTS",40,"Frais déplacements salariés"
564,"VILLA CESAR PARIS 10",,-27.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
565,"ACTION 4207 MONTIGNY-LE-",,-41.150000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
566,"SERVICE MEDICAL PARIS",,-170.930000,25,"AUTRES CHARGES SOCIALES",78,"Médecine du travail"
567,"DEL ARTE PARIS",,-46.400000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
568,"BOUYGTEL FAI CB ISSY LES MOU",,-29.000000,17,"FRAIS POSTE ET TELECOM",43,"Frais de téléphonie"
569,"SM CASINO CS814 ST MAUR DES",,-11.160000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
570,"J.M. BRUNEAU VILLEBON SUR",,-244.740000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
571,"LE TIMGAD COURBEVOIE",,-34.500000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
572,"ASSUR.TRAIN AWP ST OUEN",,-6.100000,15,"VOYAGES ET DEPLACEMENTS",40,"Frais déplacements salariés"
573," AMAZON PAYMENTS PAYLI2441535 ",,-11.990000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
574," AMAZON EU SARL PAYLI2090401 ",,-59.990000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
575," RATP PARIS ",,-6.800000,23,"REMUNERATIONS PERSONNEL",72,"Indemnités de transport"
576," FREBE AUTO PARIS ",,-69.000000,9,"ENTRETIEN BIENS MOBIL",22,"Entretien de véhicule"
577," AMAZON PAYMENTS PAYLI2441535 ",,-19.980000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
578," POULET BRAISE LA COURNEUVE ",,-27.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
579," LAURA ISSY LES MOU ",,-45.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
580," AMAZON PAYMENTS PAYLI2441535 ",,-561.840000,,"",,""
581," AMAZON PAYMENTS PAYLI2441535 ",,-282.000000,,"",,""
582," AMAZON PAYMENTS PAYLI2441535 ",,-29.950000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
583," AMAZON PAYMENTS PAYLI2441535 Avoir ",10.990000,,,"",,""
584," AMAZON PAYMENTS PAYLI2441535 ",,-13.990000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
585," LE PALINURO PARIS ",,-25.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
586," AMAZON PAYMENTS PAYLI2441535 ",,-107.020000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
587," UBER 75 PARIS ",,-38.410000,23,"REMUNERATIONS PERSONNEL",72,"Indemnités de transport"
588," AMAZON PAYMENTS PAYLI2441535 ",,-15.990000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
589," LITTLE BREIZH PARIS ",,-32.300000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
590," LINKEDINFR 75 PARIS ",,-29.740000,19,"AUTRES SERVICES DIVERS",46,"Frais de recrutement"
591," PIZZA DEL ARTE MONTREUIL ",,-73.300000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
592," AMAZON PAYMENTS PAYLI2441535 ",,-254.050000,,"",,""
593," AMAZON EU SARL PAYLI2090401 ",,-239.600000,3,"MATIERES ET FOURNITURES",,""
594," AMAZON PAYMENTS PAYLI2441535 ",,-10.990000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
595," NEW BALAL PARIS ",,-54.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
596," LE PALINURO PARIS ",,-29.800000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
597," AMAZON PAYMENTS PAYLI2441535 ",,-15.980000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
598," CARREFOUR CHELL CHELLES ",,-64.670000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
599," UBER *TRIP AD 800-592-8996 ",,-2.000000,15,"VOYAGES ET DEPLACEMENTS",40,"Frais déplacements salariés"
600," TORCY FD TORCY ",,-94.800000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
601," AMAZON PAYMENTS PAYLI2441535 ",,-279.900000,,"",,""
602," LE PALINURO PARIS ",,-44.800000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
603," AMAZON PAYMENTS PAYLI2441535 ",,-500.000000,,"",,""
604," GOOGLE GOOGLE S 75 PARIS ",,-1.990000,4,"SOUS TRAITANCE GENERALE",9,"Hébergement U.E"
605," YONG FEI PARIS ",,-25.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
606," LE PALINURO PARIS ",,-41.800000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
607," NEW BALAL PARIS ",,-84.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
608," OVH ROUBAIX ",,-35.980000,14,"PUBLICITE RELATIONS PUBL",38,"Publicité France "
609," OVH ROUBAIX ",,-44.380000,14,"PUBLICITE RELATIONS PUBL",38,"Publicité France "
610," LE PRETEXTE PARIS 13 ",,-44.900000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
611," AMAZON PAYMENTS PAYLI2441535 ",,-15.180000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
612," EPIC STE S.P.N. PARIS ",,-38.500000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
613," COJEAN LAFFITTE PARIS 9 ",,-20.900000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
614," SNCF ISSY LES MOU ",,-6.800000,15,"VOYAGES ET DEPLACEMENTS",40,"Frais déplacements salariés"
615," AMAZON PAYMENTS PAYLI2441535 ",,-25.980000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
616," FLUNCH AULNAY S/BOI ",,-19.900000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
617," LA PADELLA ISSY LES MX ",,-88.500000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
618," ELGI PARIS ",,-25.300000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
619," HITECHPROS SAS MONTROUGE ",,-221.760000,14,"PUBLICITE RELATIONS PUBL",38,"Publicité France "
620," SNCF OUIGO PARIS LA DEF ",,-204.000000,15,"VOYAGES ET DEPLACEMENTS",40,"Frais déplacements salariés"
621," HITECHPROS SAS MONTROUGE ",,-957.600000,14,"PUBLICITE RELATIONS PUBL",38,"Publicité France "
622," OFFICE DEPOT PARIS ",,-35.040000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
623," HOTEL FORMULE 1 ST MALO ",,-39.530000,15,"VOYAGES ET DEPLACEMENTS",40,"Frais déplacements salariés"
624," DESSERTS REGAL PARIS ",,-47.650000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
625," DEL ARTE PARIS ",,-34.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
626," CAPWEST SAINT MALO ",,-551.930000,15,"VOYAGES ET DEPLACEMENTS",40,"Frais déplacements salariés"
627," LEROY MERLIN 19 PARIS ",,-29.190000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
628," LEROY MERLIN 19 PARIS ",,-73.550000,3,"MATIERES ET FOURNITURES",5,"Petit équipement France"
629," LE PARIS SPORTS CHARENTON LE ",,-52.500000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
630," AUCHAN LA DEFEN PUTEAUX ",,-100.780000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
631," PARADIS DU FRUI PARIS ",,-50.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
632," DEL ARTE PARIS ",,-44.600000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
633," FRANPRIX PARIS ",,-12.230000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
634," LINA S PARIS 09 ",,-8.900000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
635," SUBWAY PARIS 09 ",,-184.000000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
636," FRANPRIX PARIS ",,-12.640000,16,"FRAIS DE RÉCEPTIONS",41,"Frais de réception"
673,"PRLV SEPA TOTAL MS I0000001624389-010032532920092019 /INV/F9892336/0087263392 //20190403-SAGR3",,-97.670000,3,"MATIERES ET FOURNITURES",6,"Carburant"
674,"VIR AUBAY SCT180258 190054",9874.800000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
675,"PRLV SEPA DGFIP 3207505600VLZ8TO6XD10ZB2XQ1X1C2UH1 PASDSN15042019-032019-80532165000030",,-7709.000000,,"",,""
676,"VIR HAS SOLUTION 19.03",,-11700.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
677,"VIR IFEO 2018-12",,-6138.000000,2,"ETUDES ET PRESTATIONS",2,"Achats d'études France"
678,"VIR 2B CONSULTING SAS 2B CON FOURNISSEURS 30/04/2019-0013",12348.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
679,"PRLV SEPA DAUCHEZ ADB GERANCE 12",,-11669.030000,5,"LOCATIONS IMMOBILIERES",15,"Locations immobilières Paris"
680,"INTERETS/FRAIS",,-2025.750000,18,"SERVICES BANCAIRES",44,"Frais sur emprunts"
681,"VIR KEYRUS FV00005799 FC190068",9840.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
682,"PRLV SEPA AG2R REUNICA AG029000002890686 RETRAITE - AG2R REUNICA - 201903M - SIRET 80532165000030 -AG0290000028",,-17333.820000,22,"CHARGES SOCIALES PERSONN",54,"Cotisations Réunica"
683,"VIR SAVINA",,-900.000000,13,"INTERMED ET HONORAIRES",108,"Honoraires juridiques"
684,"VIR TENDEM 19.03",,-207.840000,8,"ENTRETIEN BIENS IMMOBIL",21,"Entretien de biens immobiliers"
685,"VIR H DISPO INFO 032019100828756290000001 ADBI FACTURE 012019 NUMERO FC190018",10800.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
686,"PRLV SEPA GOOGLE IRELAND LIMITE GG101RTLBU APPS COMMERCE:ADBI.FR:GG101RTLBU",,-276.000000,4,"SOUS TRAITANCE GENERALE",9,"Hébergement U.E"
687,"VIR HITECHPROS FC 19-63189",,-957.600000,4,"SOUS TRAITANCE GENERALE",10,"Hébergements France"
688,"RELEVE CARTE 23697515",,-1983.910000,,"",,""
689,"BUSINESS ET DECISION BUSINESS DECISION FRAN",10212.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
690,"VIR BIRD OFFICE PARTCOM 4211277-MAR-2019",445.200000,,,"",,""
691,"REM CHQ REF10290A04",180.000000,,,"",,""
692,"PRLV SEPA EXPERTISE COMPTABLE A PK911638522Z5N03 ECAI",,-8871.600000,13,"INTERMED ET HONORAIRES",107,"Honoraires comptables"
693,"PRLV SEPA DGFIP 220750560700071172194 TVA-042019-3310CA3",,-80081.000000,41,"DETTE FISCALE ET SOCIALE ",113,"Tva"
694,"ADBI 190094 AC CONSEIL",6864.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
695,"VIR MAAF ASSURANCES SA 0109201901509539 VIRT 11 MAAF ASSU SINB2605373 SIN 0510.2017-MAAF SA",219.110000,,,"",,""
696,"VIR A.ROBINEAU PHOTOGRAPHE",,-350.000000,14,"PUBLICITE RELATIONS PUBL",38,"Publicité France "
697,"VIR ESGCI ECOLE ORTUNO CID",,-197.400000,20,"IMPOTS REMUN AUTRES ORG",49,"Formation continue"
698,"VIR KEYRUS FV00005799 FC190022",9348.000000,,35,"VENTES PRESTATIONS SERV",95,"Prestations services prod."
699,"PRLV SEPA SPB DEB-SPB-876-20190326-000029396530 ASSURANCE MOBILE SPB BOUYGUES TELECOM",,-14.990000,11,"ASSURANCES",27,"Assurance mobiles "
